TEAM_ABBREVIATION,TEAM_NAME,CONFERENCE,DIVISION,LOGO_URL
ATL,Atlanta Hawks,East,Southeast,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
BOS,Boston Celtics,East,Atlantic,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
CLE,Cleveland Cavaliers,East,Central,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
NOP,New Orleans Pelicans,West,Southwest,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
CHI,Chicago Bulls,East,Central,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
DAL,Dallas Mavericks,West,Southwest,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
DEN,Denver Nuggets,West,Northwest,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
GSW,Golden State Warriors,West,Pacific,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
HOU,Houston Rockets,West,Southwest,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
LAC,Los Angeles Clippers,West,Pacific,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
LAL,Los Angeles Lakers,West,Pacific,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
MIA,Miami Heat,East,Southeast,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg
MIL,Milwaukee Bucks,East,Central,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
MIN,Minnesota Timberwolves,West,Northwest,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
BKN,Brooklyn Nets,East,Atlantic,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
NYK,New York Knicks,East,Atlantic,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
ORL,Orlando Magic,East,Southeast,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
IND,Indiana Pacers,East,Central,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
PHI,Philadelphia 76ers,East,Atlantic,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
PHX,Phoenix Suns,West,Pacific,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
POR,Portland Trail Blazers,West,Northwest,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
SAC,Sacramento Kings,West,Pacific,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
SAS,San Antonio Spurs,West,Southwest,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
OKC,Oklahoma City Thunder,West,Northwest,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
TOR,Toronto Raptors,East,Atlantic,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
UTA,Utah Jazz,West,Northwest,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
MEM,Memphis Grizzlies,West,Southwest,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
WAS,Washington Wizards,East,Southeast,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
DET,Detroit Pistons,East,Central,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
CHA,Charlotte Hornets,East,Southeast,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
